employer_id,vacancy_id,evidence_url,support_team_size_min,support_evidence,evidence_type,mentions_24_7,shift_work
725989,128665872,https://hh.ru/vacancy/128665872,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
774266,127478839,https://hh.ru/vacancy/127478839,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
776314,128254040,https://hh.ru/vacancy/128254040,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
798923,128004918,https://hh.ru/vacancy/128004918,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
829009,128004607,https://hh.ru/vacancy/128004607,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
838415,127913600,https://hh.ru/vacancy/127913600,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
8647786,128834356,https://hh.ru/vacancy/128834356,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
87021,125644792,https://hh.ru/vacancy/125644792,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
877494,127950579,https://hh.ru/vacancy/127950579,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
88127,126475158,https://hh.ru/vacancy/126475158,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
886923,128851831,https://hh.ru/vacancy/128851831,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
8945513,123586979,https://hh.ru/vacancy/123586979,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
8977702,128008876,https://hh.ru/vacancy/128008876,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
9133998,128515673,https://hh.ru/vacancy/128515673,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
9198771,128545835,https://hh.ru/vacancy/128545835,10,"Признаки крупной поддержки: упоминание 24/7/круглосуточно, сменный график/ночные смены. По правилу B ставим минимум 10.",jobs,1,1
9297865,128372933,https://hh.ru/vacancy/128372933,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
9313048,128615583,https://hh.ru/vacancy/128615583,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
9410116,128001956,https://hh.ru/vacancy/128001956,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
9451419,128708397,https://hh.ru/vacancy/128708397,10,"Признаки крупной поддержки: упоминание 24/7/круглосуточно, сменный график/ночные смены. По правилу B ставим минимум 10.",jobs,1,1
9472816,128121912,https://hh.ru/vacancy/128121912,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
9498120,128868919,https://hh.ru/vacancy/128868919,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
953,128864907,https://hh.ru/vacancy/128864907,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
9550692,128858065,https://hh.ru/vacancy/128858065,10,Признаки крупной поддержки: упоминание 24/7/круглосуточно. По правилу B ставим минимум 10.,jobs,1,0
9621677,128767770,https://hh.ru/vacancy/128767770,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
9661193,128532586,https://hh.ru/vacancy/128532586,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
981,127632809,https://hh.ru/vacancy/127632809,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
